Section,,PACK DE PERSONNALISATION,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,SÉCURITÉ,EQUIPEMENTS,EQUIPEMENTS,EQUIPEMENTS,LIGNES ET STYLE,KITS DÉCORS,RÉTROVISEURS,PACKS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,FINITION,PRICE,VALIDITY,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,LIGNES ET STYLE,RÉTROVISEURS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,SYSTÈMES AUDIO ET TÉLÉMATIQUE,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,SÉCURITÉ,SÉCURITÉ,SÉCURITÉ,SÉCURITÉ,EQUIPEMENTS,LIGNES ET STYLE,LIGNES ET STYLE,LIGNES ET STYLE,RÉTROVISEURS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,SYSTÈMES AUDIO ET TÉLÉMATIQUE,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,PACKS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,SYSTÈMES AUDIO ET TÉLÉMATIQUE
Title,,Pack Color Anodised Blue,Volant croute de cuir,Sièges AV réglables hauteur + Lombaire conducteur,Essuie-vitre avant automatique,Aide au stationnement arrière,"Chargeur embarqué 7,4 kW monophasé",My Citroën Play : Système audio numérique sur tablette tactile 10?? avec fonction Mirror Screen.,Système audio numérique (DAB) MP3 6 HP,Poignées de portes extérieures Noir Brillant,Décor Bleu sur les panneaux intérieurs de porte,Rétroviseurs extérieurs électriques et dégivrants,Pack Safety,Combiné numérique couleur,,,,Tiroir de planche de bord,Caméra de recul avec Top Rear Vision,Poignées de portes extérieures couleur caisse,"Rétros éléc. et dégi, rabattables électriquement",Combiné numérique couleur avec rétro-éclairage,My Citroën Drive : navigation sur tablette tactile 10',Accoudoir central arrière avec trappe à ski,Volant chauffant,Volant cuir pleine fleur,Accès et démarrage mains libres Proximity,Système de surveillance d'angle mort,Commutation automatique des feux de route,Rég. de vitesse adaptatif avec fonction Stop & Go,Suspensions Citroën Advanced Comfort,Affichage tête haute couleur,Essuie-vitre avant automatique,Jonc chromé sur les lécheurs de vitres latérales,Vitres et lunette arrière surteintées,Feux diurnes à LED,Rétroviseur intérieur électrochrome,Kit mains libres Bluetooth et prise USB RANG 1 (type A),Smart Pad Support Citroën,Sièges avant chauffants,Caméra de recul Top Rear Vision,Highway Driver Assist,Recharge sans fil pour smartphone,HiFi System
PAGE #,CAR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36500,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,False,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36500,2022-05-30 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,True,True,True,True,False,True,True,True,True,False,True,True,True,FEEL,36550,2022-05-27 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,4,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36800,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36800,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,6,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36950,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,7,True,True,True,True,True,False,True,True,True,True,True,True,True,FEEL,37000,2022-05-20 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,8,True,True,False,True,True,True,True,True,True,True,True,True,True,FEEL,37050,2022-05-30 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,9,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,37250,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,True,True,True,True,True,False,True,True,True,True,True,True,True,FEEL,37650,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,True,True,True,True,True,False,True,True,True,True,True,True,True,FEEL,37650,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,True,True,True,True,False,True,False,True,False,False,False,True,False,FEEL PACK,37700,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,37700,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,True,True,True,True,True,True,False,True,True,True,True,True,True,FEEL,37750,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,6,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,37800,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,7,False,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38100,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,8,False,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38100,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,9,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38100,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,1,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38150,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38250,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38300,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,4,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38300,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,5,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38350,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,6,True,True,True,True,True,False,False,True,True,True,True,True,True,FEEL,38450,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,7,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38450,2022-05-27 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,8,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38450,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,9,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,38500,2022-06-03 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38500,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38500,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,38500,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38500,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,True,False,True,False,False,True,False,True,False,True,False,False,False,SHINE,38500,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
4,6,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38550,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,7,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38550,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,9,True,True,True,True,False,True,False,True,False,True,False,False,False,FEEL PACK,38650,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,1,False,True,True,True,False,True,False,True,False,False,False,False,False,FEEL PACK,38650,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,8,True,False,True,False,False,True,False,True,False,True,False,False,False,SHINE,38650,2022-05-30 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
5,2,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,38700,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,3,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38700,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,4,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38750,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,5,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38750,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,6,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38750,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,7,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38750,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,8,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38750,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1,False,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38800,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,9,False,False,True,False,False,True,False,True,False,False,False,False,False,SHINE,38800,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
6,2,True,True,True,True,False,False,False,True,False,False,False,False,False,FEEL PACK,38850,2022-05-27 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,3,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38900,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,6,True,True,True,True,False,True,False,True,False,True,False,True,False,FEEL PACK,38900,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,7,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,38900,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,9,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38900,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,4,False,False,True,False,False,False,False,True,False,True,False,False,False,SHINE,38900,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
6,5,False,False,True,False,False,False,False,True,False,True,False,False,False,SHINE,38900,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
6,8,False,False,True,False,False,False,False,True,False,True,False,False,False,SHINE,38900,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
7,1,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38950,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,38950,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,4,True,True,True,True,True,False,False,True,True,True,True,False,True,FEEL,39000,2022-05-30 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,5,False,True,True,True,False,True,False,True,False,True,False,False,False,FEEL PACK,39000,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,3,True,False,True,False,False,True,False,True,False,True,False,False,False,SHINE,39000,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
7,6,False,True,True,True,False,True,False,True,False,False,False,False,False,FEEL PACK,39100,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,8,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,39100,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,9,True,True,True,True,False,True,False,True,False,True,False,False,False,FEEL PACK,39100,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1,True,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,39100,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,3,False,True,True,True,False,False,False,True,False,True,False,True,False,FEEL PACK,39100,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,4,True,True,True,True,False,True,False,True,False,True,False,False,False,FEEL PACK,39100,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,7,True,False,True,False,False,False,False,True,False,True,False,False,False,SHINE,39100,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
8,2,True,False,True,False,False,False,False,True,False,True,False,False,False,SHINE,39100,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
8,6,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,39150,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,8,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,39150,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,1,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,39150,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,39150,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,5,False,False,True,False,False,True,False,True,False,True,False,False,False,SHINE,39150,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
8,7,True,False,True,False,False,True,False,True,False,True,False,False,False,SHINE,39150,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
8,9,False,False,True,False,False,True,False,True,False,False,False,False,False,SHINE,39150,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
9,3,False,False,True,False,False,True,False,True,False,True,False,False,False,SHINE,39150,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
9,4,False,False,True,False,False,True,False,True,False,True,False,False,False,SHINE,39150,2022-05-11 00:00:00+00:00,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
9,6,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,39200,2022-05-30 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,8,True,True,True,True,False,False,False,True,False,True,False,False,False,FEEL PACK,39200,2022-05-11 00:00:00+00:00,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
